nameWithOwner,createdAt,stargazerCount,commitCount
koush/AndroidAsync,2012-08-24T07:27:04Z,7493,0
google/android-classyshark,2015-10-12T13:40:48Z,7465,2
apache/beam,2016-02-02T08:00:06Z,7454,3798
lecho/hellocharts-android,2014-10-12T09:12:37Z,7423,0
kevin-wayne/algs4,2015-08-31T09:28:49Z,7368,12
TechEmpower/FrameworkBenchmarks,2013-03-22T17:33:54Z,7358,953
swagger-api/swagger-core,2011-07-05T23:44:11Z,7328,152
dyc87112/SpringCloud-Learning,2016-08-21T03:39:52Z,7323,0
flowable/flowable-engine,2016-10-13T07:21:43Z,7323,345
square/dagger,2012-08-02T23:25:32Z,7314,0
Bearded-Hen/Android-Bootstrap,2013-11-01T15:36:17Z,7289,0
Tencent/Shadow,2019-06-13T10:50:27Z,7278,14
abel533/Mapper,2014-11-21T11:02:10Z,7247,8
apache/tomcat,2011-10-01T07:00:19Z,7245,1448
crazycodeboy/TakePhoto,2015-08-04T02:05:32Z,7237,0
bytedeco/javacv,2014-04-21T13:50:26Z,7237,18
google/closure-compiler,2014-04-16T15:30:36Z,7233,643
cymcsg/UltimateRecyclerView,2015-01-28T02:27:45Z,7227,0
Qihoo360/RePlugin,2017-06-08T09:39:09Z,7222,0
frohoff/ysoserial,2015-01-28T07:13:55Z,7221,6
google/agera,2015-12-17T13:22:58Z,7208,0
geeeeeeeeek/WeChatLuckyMoney,2015-09-30T16:11:20Z,7197,0
alibaba/transmittable-thread-local,2013-10-13T08:48:33Z,7171,117
apache/seatunnel,2017-08-05T09:14:47Z,7165,1149
lenve/VBlog,2017-12-26T11:01:55Z,7128,0
JakeWharton/ActionBarSherlock,2011-03-07T17:28:54Z,7110,0
Exrick/xmall,2017-07-28T01:49:49Z,7101,0
ogaclejapan/SmartTabLayout,2015-02-14T11:25:51Z,7076,0
real-logic/aeron,2014-02-07T17:16:58Z,7021,1002
twowaits/SDE-Interview-Questions,2017-10-25T11:08:52Z,6973,0
NLPchina/elasticsearch-sql,2014-08-24T14:26:31Z,6954,29
naman14/Timber,2015-06-12T16:43:55Z,6952,0
hongyangAndroid/okhttputils,2015-08-17T14:53:29Z,6881,0
DroidPluginTeam/DroidPlugin,2015-08-27T11:14:57Z,6861,0
microg/GmsCore,2014-04-23T19:28:47Z,6845,383
mapstruct/mapstruct,2012-05-28T12:42:42Z,6759,79
zo0r/react-native-push-notification,2015-12-14T19:53:36Z,6701,0
rest-assured/rest-assured,2010-10-21T08:35:43Z,6690,65
hongyangAndroid/AndroidAutoLayout,2015-11-19T02:09:11Z,6681,0
markzhai/AndroidPerformanceMonitor,2016-01-17T05:23:22Z,6624,0
yanzhenjie/AndPermission,2016-09-11T05:17:34Z,6616,0
mrniko/netty-socketio,2012-01-12T11:43:49Z,6607,153
zouzg/mybatis-generator-gui,2016-05-08T22:39:39Z,6589,0
alibaba/jvm-sandbox,2017-08-03T02:55:31Z,6570,24
GrenderG/Toasty,2017-01-18T18:52:41Z,6551,0
cabaletta/baritone,2018-08-01T15:34:21Z,6551,598
guardianproject/haven,2017-03-01T03:20:03Z,6530,0
rabbitmq/rabbitmq-tutorials,2010-09-21T11:41:26Z,6528,86
smuyyh/BookReader,2016-08-03T05:17:27Z,6490,0
vinc3m1/RoundedImageView,2013-02-22T01:17:37Z,6433,2
NLPchina/ansj_seg,2012-09-05T05:56:24Z,6427,3
PowerJob/PowerJob,2020-03-16T09:19:55Z,6420,262
zendesk/android-floating-action-button,2014-09-19T06:49:21Z,6375,0
ArthurHub/Android-Image-Cropper,2015-01-15T10:49:37Z,6374,1
527515025/springBoot,2016-11-07T02:13:31Z,6344,0
wxiaoqi/Spring-Cloud-Platform,2017-05-25T10:35:26Z,6317,0
gzu-liyujiang/AndroidPicker,2015-10-21T14:21:16Z,6300,8
koush/ion,2013-05-22T07:41:23Z,6295,0
ximsfei/Android-skin-support,2017-01-12T15:03:54Z,6291,0
Meituan-Dianping/Leaf,2018-12-11T07:41:35Z,6275,0
didi/KnowStreaming,2020-03-19T05:13:51Z,6711,163
zo0r/react-native-push-notification,2015-12-14T19:53:36Z,6701,0
rest-assured/rest-assured,2010-10-21T08:35:43Z,6690,65
hongyangAndroid/AndroidAutoLayout,2015-11-19T02:09:11Z,6681,0
MinecraftForge/MinecraftForge,2012-01-30T01:35:01Z,6631,309
markzhai/AndroidPerformanceMonitor,2016-01-17T05:23:22Z,6624,0
yanzhenjie/AndPermission,2016-09-11T05:17:34Z,6616,0
mrniko/netty-socketio,2012-01-12T11:43:49Z,6607,153
zouzg/mybatis-generator-gui,2016-05-08T22:39:39Z,6589,0
alibaba/jvm-sandbox,2017-08-03T02:55:31Z,6570,24
GrenderG/Toasty,2017-01-18T18:52:41Z,6551,0
cabaletta/baritone,2018-08-01T15:34:21Z,6551,598
guardianproject/haven,2017-03-01T03:20:03Z,6530,0
rabbitmq/rabbitmq-tutorials,2010-09-21T11:41:26Z,6528,86
h2pl/JavaTutorial,2018-05-01T15:57:21Z,6508,85
smuyyh/BookReader,2016-08-03T05:17:27Z,6490,0
processing/processing,2013-01-24T21:17:22Z,6442,1
vinc3m1/RoundedImageView,2013-02-22T01:17:37Z,6433,2
NLPchina/ansj_seg,2012-09-05T05:56:24Z,6427,3
PowerJob/PowerJob,2020-03-16T09:19:55Z,6420,262
zendesk/android-floating-action-button,2014-09-19T06:49:21Z,6375,0
ArthurHub/Android-Image-Cropper,2015-01-15T10:49:37Z,6374,1
527515025/springBoot,2016-11-07T02:13:31Z,6344,0
wxiaoqi/Spring-Cloud-Platform,2017-05-25T10:35:26Z,6317,0
gzu-liyujiang/AndroidPicker,2015-10-21T14:21:16Z,6300,8
koush/ion,2013-05-22T07:41:23Z,6295,0
ximsfei/Android-skin-support,2017-01-12T15:03:54Z,6291,0
Meituan-Dianping/Leaf,2018-12-11T07:41:35Z,6275,0
sshahine/JFoenix,2015-09-08T14:04:24Z,6239,0
AsyncHttpClient/async-http-client,2011-03-07T13:41:46Z,6228,71
HMCL-dev/HMCL,2015-06-22T08:06:03Z,6215,377
aa112901/remusic,2016-03-24T06:20:39Z,6215,0
wasabeef/richeditor-android,2015-03-30T16:19:20Z,6190,0
ityouknow/spring-cloud-examples,2017-04-28T08:48:53Z,6182,0
getActivity/AndroidProject,2018-10-23T10:30:55Z,6176,0
joelittlejohn/jsonschema2pojo,2013-06-22T22:28:53Z,6140,79
macrozheng/springcloud-learning,2019-09-07T02:36:16Z,6135,2
ikew0ng/SwipeBackLayout,2013-08-25T03:36:12Z,6127,0
fuzhengwei/itstack-demo-design,2020-05-20T13:45:30Z,6120,6
rengwuxian/MaterialEditText,2014-10-30T10:07:23Z,6107,0
lightbend/config,2011-12-06T08:02:29Z,6082,5
daimajia/NumberProgressBar,2014-05-01T08:54:25Z,6066,0
amitshekhariitbhu/from-java-to-kotlin,2017-05-21T11:56:27Z,6061,2
kestra-io/kestra,2019-08-24T13:56:15Z,6054,1518
wiremock/wiremock,2011-10-09T20:27:24Z,6043,718
quartz-scheduler/quartz,2016-03-07T14:05:37Z,6038,30
pedrovgs/EffectiveAndroidUI,2014-07-04T08:42:20Z,6033,1
graphql-java/graphql-java,2015-07-06T06:52:20Z,6023,989
rey5137/material,2014-12-09T12:07:32Z,6020,0
singwhatiwanna/dynamic-load-apk,2014-03-30T11:51:00Z,6017,0
google/physical-web,2014-09-30T18:32:14Z,6006,0
google/grafika,2013-12-19T18:36:53Z,5991,0
raphw/byte-buddy,2013-11-25T19:38:03Z,5983,346
wyouflf/xUtils3,2015-10-28T10:56:04Z,5979,0
google/j2objc,2014-01-30T20:19:56Z,5976,245
antoniolg/androidmvp,2014-04-02T05:42:20Z,5944,0
micronaut-projects/micronaut-core,2018-03-07T12:05:08Z,5929,1387
prolificinteractive/material-calendarview,2015-02-09T22:31:56Z,5909,0
haifengl/smile,2014-11-20T16:28:12Z,5904,282
springfox/springfox,2012-05-06T06:38:57Z,5899,0
liyifeng1994/ssm,2016-06-18T17:58:56Z,5887,0
weibocom/motan,2016-04-20T10:56:17Z,5867,33
jOOQ/jOOQ,2011-04-17T10:43:33Z,5863,1143
hazelcast/hazelcast,2012-03-21T12:25:18Z,5834,2092
lets-blade/blade,2015-06-10T03:35:49Z,5824,2
jeremylong/DependencyCheck,2012-09-03T20:43:30Z,5822,713
Nightonke/BoomMenu,2016-03-19T12:04:12Z,5800,0
robolectric/robolectric,2010-08-28T00:28:25Z,5784,892
JakeWharton/DiskLruCache,2012-01-05T00:36:34Z,5780,0
Devlight/InfiniteCycleViewPager,2016-08-22T08:04:39Z,5759,0
yarolegovich/DiscreteScrollView,2017-03-03T23:38:54Z,5747,0
Vedenin/useful-java-links,2016-02-13T13:14:52Z,5743,4
springside/springside4,2012-02-23T08:39:03Z,5737,0
changmingxie/tcc-transaction,2015-12-05T04:27:53Z,5712,17
btraceio/btrace,2014-08-28T18:58:24Z,5710,65
dmytrodanylyk/circular-progress-button,2014-06-07T12:58:48Z,5705,40
jpush/aurora-imui,2016-12-13T05:24:01Z,5695,0
k0shk0sh/FastHub,2017-02-18T17:53:16Z,5690,0
LSPosed/LSPatch,2021-03-01T19:38:36Z,5680,38
apache/incubator-kie-drools,2011-02-18T08:37:05Z,5676,586
gephi/gephi,2011-10-22T03:14:46Z,5657,623
